"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: maxDepth","Param: minDepth","Param: paramCount","Param: repeat","Param: stackDepth"
"org.openjdk.benchmarks.cont.OneShot.yieldBeforeEachCall","avgt",1,5,8474.876154,651.406626,"ns/op",,,2,,20
"org.openjdk.benchmarks.cont.OneShot.yieldBeforeEachCall","avgt",1,5,39546.082640,202.037989,"ns/op",,,2,,100
"org.openjdk.benchmarks.cont.OneShot.yieldBeforeEachCall","avgt",1,5,2097.762822,10.245474,"ns/op",,,3,,5
"org.openjdk.benchmarks.cont.OneShot.yieldBeforeEachCall","avgt",1,5,4156.005958,42.990120,"ns/op",,,3,,10
"org.openjdk.benchmarks.cont.OneShot.yieldBeforeEachCall","avgt",1,5,8467.318375,691.675632,"ns/op",,,3,,20
"org.openjdk.benchmarks.cont.OneShot.yieldBeforeEachCall","avgt",1,5,39870.278357,202.274319,"ns/op",,,3,,100
"org.openjdk.benchmarks.cont.OneShot.yieldThenContinue","avgt",1,5,1116.877730,6.926797,"ns/op",,,1,,5
"org.openjdk.benchmarks.cont.OneShot.yieldThenContinue","avgt",1,5,1533.486449,13.459591,"ns/op",,,1,,10
"org.openjdk.benchmarks.cont.OneShot.yieldThenContinue","avgt",1,5,2070.752804,28.018454,"ns/op",,,1,,20
"org.openjdk.benchmarks.cont.OneShot.yieldThenContinue","avgt",1,5,6942.271984,91.934285,"ns/op",,,1,,100
"org.openjdk.benchmarks.cont.OneShot.yieldThenContinue","avgt",1,5,1184.090516,447.136516,"ns/op",,,2,,5
"org.openjdk.benchmarks.cont.OneShot.yieldThenContinue","avgt",1,5,1595.788245,529.019036,"ns/op",,,2,,10
"org.openjdk.benchmarks.cont.OneShot.yieldThenContinue","avgt",1,5,2148.103006,20.010912,"ns/op",,,2,,20
"org.openjdk.benchmarks.cont.OneShot.yieldThenContinue","avgt",1,5,7463.848580,425.346004,"ns/op",,,2,,100
"org.openjdk.benchmarks.cont.OneShot.yieldThenContinue","avgt",1,5,1233.713376,497.366079,"ns/op",,,3,,5
"org.openjdk.benchmarks.cont.OneShot.yieldThenContinue","avgt",1,5,1662.674840,555.071413,"ns/op",,,3,,10
"org.openjdk.benchmarks.cont.OneShot.yieldThenContinue","avgt",1,5,2289.740133,38.908640,"ns/op",,,3,,20
"org.openjdk.benchmarks.cont.OneShot.yieldThenContinue","avgt",1,5,8552.567836,1495.850641,"ns/op",,,3,,100
"org.openjdk.benchmarks.cont.Oscillation.oscillate","avgt",1,5,4178.649218,12.050057,"ns/op",5,2,,10,
"org.openjdk.benchmarks.cont.Oscillation.oscillate","avgt",1,5,42455.149654,203.464393,"ns/op",5,2,,100,
"org.openjdk.benchmarks.cont.Oscillation.oscillate","avgt",1,5,422982.319404,3416.819956,"ns/op",5,2,,1000,
"org.openjdk.benchmarks.cont.Oscillation.oscillate","avgt",1,5,4106.689836,8.442775,"ns/op",5,3,,10,
"org.openjdk.benchmarks.cont.Oscillation.oscillate","avgt",1,5,42188.238194,248.323043,"ns/op",5,3,,100,
"org.openjdk.benchmarks.cont.Oscillation.oscillate","avgt",1,5,426468.260773,809.155535,"ns/op",5,3,,1000,
"org.openjdk.benchmarks.cont.Oscillation.oscillate","avgt",1,5,2982.137922,15.943368,"ns/op",5,4,,10,
